ID,Checker,Type,Impact,File,Line,Function,Classification,Merge key,CID,Disposition Comment,Defect Status
119,OVERRUN,Out-of-bounds write,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,1019,afn_construct_contact_msg(),Unclassified,f6860cd53f6afa199666ea9117f88246,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_contact_msg() is called. ui_index is updated using bounded field lengths, so the write at line 1019 remains within the buffer limits.",False Positive
120,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,775,afn_construct_afn_msg_header(unsigned int *),Unclassified,aa588a52798601bf8dae9458ce7b646d,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_afn_msg_header() is called. *ui_index is updated using bounded field lengths, so the write at line 775 remains within the buffer limits.",False Positive
121,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,1026,afn_construct_contact_msg(),Unclassified,f6860cd53f6afa199666ea9117f88246,Unavailable,"g_st_afn_dlqm_buffer is initialized before afn_construct_contact_msg() is called. ui_index is updated using bounded field lengths, so the access at line 1026 remains within the buffer limits.",False Positive
122,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4046,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index] read at line 4046 uses ui_conn_index from the <= MAX check at line 4025. ui_conn_index = MAX_NUM_ADS_CONNECTIONS is allowed by <=, which is one past the last valid array index.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
123,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4057,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index] read at line 4057. Same off-by-one from <= MAX_NUM_ADS_CONNECTIONS at line 4025, ui_conn_index can equal MAX, causing out-of-bounds array read.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
124,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4065,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index] read at line 4065 with ui_conn_index potentially equal to MAX_NUM_ADS_CONNECTIONS from the off-by-one <= check at 4025. Array index one past valid range.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
125,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4073,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index] read at line 4073. ui_conn_index from the <= MAX check at 4025 can be MAX_NUM_ADS_CONNECTIONS, which is one beyond the last valid index of the array.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
126,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4088,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index] read at line 4088 with same off-by-one index from <= MAX check at 4025. ui_conn_index = MAX_NUM_ADS_CONNECTIONS accesses element past the end of the array.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
127,OVERRUN,Out-of-bounds access,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4088,fnadsc_rptmgr_process_ec_rpt(),Unclassified,b8801336fcd59ae3ca577441ef078a3e,Unavailable,"Same gs_ec_rpt_tbl[ui_conn_index] access as ID 126 at line 4088. The <= check at 4025 is the root cause, changing to < MAX_NUM_ADS_CONNECTIONS would fix all off-by-one accesses at lines 4024–4157.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
128,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4121,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index].b_invalid_airspeed_chg_data read at line 4121. ui_conn_index can be MAX_NUM_ADS_CONNECTIONS from the off-by-one <= check at 4025, accesses memory past the end of gs_ec_rpt_tbl.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
129,OVERRUN,Out-of-bounds write,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4123,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index].ui_supp_ec_bitmask written at line 4123. ui_conn_index from the <= MAX check can be MAX_NUM_ADS_CONNECTIONS, write operation goes one element past the end of the array.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
130,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4129,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index] read at line 4129. Same off-by-one index permitted by <= MAX at 4025, ui_conn_index = MAX_NUM_ADS_CONNECTIONS causes read beyond array bounds.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
131,OVERRUN,Out-of-bounds read,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Event_Cntrt_Rpt.c,4136,fnadsc_rptmgr_process_ec_rpt(),Unclassified,9a6ce0440d62da54867b40f53d3453d1,Unavailable,"gs_ec_rpt_tbl[ui_conn_index].ui_supp_ec_bitmask read at line 4136. ui_conn_index allowed to be MAX_NUM_ADS_CONNECTIONS by the <= check at 4025, off-by-one out-of-bounds read.
Proposed Fix: Same single-char fix at line 4025: < instead of <= eliminates this access.",True Positive
